date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:21	185062/185062	---MCZ	200	added ('OK')	application/javascript	etag:W/%229f8856155d39596b42899607800d7451%22	https://lipeteste.dramanucaceres.com.br/_next/static/chunks/app/%5B%5B...slug%5D%5D/page-818cfcfa3e083c69.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/app/[[...slug]]/page-818cfcfa3e083c69f693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:21	9535/9535	---M-Z	200	added ('OK')	application/javascript	etag:W/%22253f-fiC4dvXCxZc1FLyKZVGSRo1oZJ4%22	https://cdn.jsdelivr.net/npm/js-sha256/src/sha256.min.js	/home/mcastro/websites/AntiLipedema/cdn.jsdelivr.net/npm/js-sha256/src/sha256.min.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:23	16768/16768	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f64b1f48563b9741dc93aec2e664fb83%22	https://cdn.utmify.com.br/scripts/utms/latest.js	/home/mcastro/websites/AntiLipedema/cdn.utmify.com.br/scripts/utms/latest.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:24	240/240	---MCZ	403	error ('Forbidden')	application/xml	date:Mon,%2029%20Sep%202025%2014:51:23%20GMT	https://cdn.xquiz.co/	/home/mcastro/websites/AntiLipedema/cdn.xquiz.co/index.html	(from https://lipeteste.dramanucaceres.com.br/)
11:51:24	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Sep%202025%2014:51:24%20GMT	https://fonts.gstatic.com/	/home/mcastro/websites/AntiLipedema/fonts.gstatic.com/index.html	(from https://lipeteste.dramanucaceres.com.br/)
11:51:24	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Sep%202025%2014:51:23%20GMT	https://fonts.googleapis.com/	/home/mcastro/websites/AntiLipedema/fonts.googleapis.com/index.html	(from https://lipeteste.dramanucaceres.com.br/)
11:51:25	1021/1021	---MC-	200	added ('OK')	text/css	date:Mon,%2029%20Sep%202025%2014:51:24%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@200;300;400;500;700&display=swap	/home/mcastro/websites/AntiLipedema/fonts.googleapis.com/css2aa7b.css	(from https://lipeteste.dramanucaceres.com.br/)
11:51:25	381454/381454	---M--	200	added ('OK')	image/png	etag:%22c2a7827e8cac50f0b466c614a875974b%22	https://cdn.xquiz.co/images/fa6b8a2e-8556-4322-bd9b-541e519b5f16	/home/mcastro/websites/AntiLipedema/cdn.xquiz.co/images/fa6b8a2e-8556-4322-bd9b-541e519b5f16.png	(from https://lipeteste.dramanucaceres.com.br/)
11:51:26	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b38a2d0cd705066e9e7c9be8720c5ea%22	https://lipeteste.dramanucaceres.com.br/_next/static/chunks/polyfills-42372ed130431b0a.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/polyfills-42372ed130431b0af693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:27	8460/8460	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:26%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/14517-6d322daf571c69daf693.html	(from https://lipeteste.dramanucaceres.com.br/)
11:51:28	8472/8472	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:27%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/e40d0b89-c0a42acabcb024ae.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/e40d0b89-c0a42acabcb024aef693.html	(from https://lipeteste.dramanucaceres.com.br/)
11:51:29	8472/8472	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:28%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/39c3adb9-46d5cd0480f38726.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/39c3adb9-46d5cd0480f38726f693.html	(from https://lipeteste.dramanucaceres.com.br/)
